Date,Open,High,Low,Close,Volume
2019-09-22 22:35:00,1.10163,1.10162,1.10166,1.1016,153
2019-09-22 22:40:00,1.10162,1.10168,1.10172,1.10162,96
2019-09-22 22:45:00,1.10168,1.10157,1.10167,1.10156,137
2019-09-22 22:50:00,1.10157,1.10154,1.1016,1.10147,183
2019-09-22 22:55:00,1.10154,1.10172,1.10176,1.10153,132
2019-09-22 23:00:00,1.10172,1.10174,1.10181,1.10171,177
2019-09-22 23:05:00,1.10174,1.10176,1.10178,1.10171,98
2019-09-22 23:10:00,1.10176,1.10192,1.10193,1.10175,159
2019-09-22 23:15:00,1.10192,1.10189,1.10194,1.10186,175
2019-09-22 23:20:00,1.10189,1.10189,1.1019,1.1018,276
2019-09-22 23:25:00,1.10189,1.10188,1.1019,1.10185,147
2019-09-22 23:30:00,1.10188,1.10187,1.10191,1.10185,192
2019-09-22 23:35:00,1.10187,1.10168,1.10189,1.10168,250
2019-09-22 23:40:00,1.10168,1.1017,1.10173,1.10167,123
2019-09-22 23:45:00,1.1017,1.10164,1.10176,1.10163,258
2019-09-22 23:50:00,1.10164,1.10181,1.10185,1.10164,296
2019-09-22 23:55:00,1.10181,1.1018,1.1019,1.10173,268
2019-09-23 00:00:00,1.1018,1.10176,1.10185,1.10168,324
2019-09-23 00:05:00,1.10176,1.10167,1.10186,1.10164,229
2019-09-23 00:10:00,1.10167,1.10163,1.10174,1.1016,239
2019-09-23 00:15:00,1.10163,1.10159,1.10176,1.10158,279
2019-09-23 00:20:00,1.10159,1.1017,1.1017,1.10155,251
2019-09-23 00:25:00,1.1017,1.10175,1.1018,1.1017,324
2019-09-23 00:30:00,1.10175,1.10166,1.1018,1.10166,279
2019-09-23 00:35:00,1.10166,1.10176,1.1018,1.10164,245
2019-09-23 00:40:00,1.10176,1.10188,1.10188,1.10174,295
2019-09-23 00:45:00,1.10188,1.10179,1.10188,1.10174,306
2019-09-23 00:50:00,1.10179,1.10172,1.10192,1.10172,384
2019-09-23 00:55:00,1.10172,1.10164,1.10172,1.10158,226
2019-09-23 01:00:00,1.10164,1.10179,1.10179,1.10153,344
2019-09-23 01:05:00,1.10179,1.10185,1.10191,1.10179,298
2019-09-23 01:10:00,1.10185,1.10189,1.1019,1.10184,208
2019-09-23 01:15:00,1.10189,1.10188,1.10189,1.1018,269
2019-09-23 01:20:00,1.10188,1.10206,1.10216,1.10187,309
2019-09-23 01:25:00,1.10206,1.10211,1.10216,1.10204,441
2019-09-23 01:30:00,1.10211,1.1021,1.10222,1.10209,409
2019-09-23 01:35:00,1.1021,1.10206,1.10215,1.10203,316
2019-09-23 01:40:00,1.10206,1.10204,1.10214,1.10202,265
2019-09-23 01:45:00,1.10204,1.10213,1.10213,1.10204,269
2019-09-23 01:50:00,1.10213,1.10217,1.10217,1.10209,313
2019-09-23 01:55:00,1.10217,1.10218,1.10224,1.10215,419
2019-09-23 02:00:00,1.10218,1.10225,1.1023,1.10218,326
2019-09-23 02:05:00,1.10225,1.10226,1.10231,1.10218,279
2019-09-23 02:10:00,1.10226,1.1024,1.10241,1.10225,330
2019-09-23 02:15:00,1.1024,1.10239,1.10245,1.10237,336
2019-09-23 02:20:00,1.10239,1.10243,1.10243,1.10238,186
2019-09-23 02:25:00,1.10243,1.10238,1.10245,1.10237,201
2019-09-23 02:30:00,1.10238,1.10233,1.10239,1.10228,196
2019-09-23 02:35:00,1.10233,1.10234,1.10239,1.1023,274
2019-09-23 02:40:00,1.10234,1.10229,1.10238,1.10228,308
2019-09-23 02:45:00,1.10229,1.10235,1.10238,1.10228,307
2019-09-23 02:50:00,1.10235,1.10239,1.10243,1.10235,169
2019-09-23 02:55:00,1.10239,1.10223,1.1024,1.10223,270
2019-09-23 03:00:00,1.10223,1.10233,1.10233,1.10223,210
2019-09-23 03:05:00,1.10233,1.10226,1.10234,1.10225,100
2019-09-23 03:10:00,1.10226,1.10224,1.1023,1.10223,174
2019-09-23 03:15:00,1.10224,1.10228,1.10229,1.10223,290
2019-09-23 03:20:00,1.10228,1.10237,1.10239,1.10223,197
2019-09-23 03:25:00,1.10237,1.10234,1.1024,1.10232,241
2019-09-23 03:30:00,1.10234,1.10227,1.10235,1.10224,94
2019-09-23 03:35:00,1.10227,1.10218,1.10228,1.10218,131
2019-09-23 03:40:00,1.10218,1.10219,1.1022,1.10216,101
2019-09-23 03:45:00,1.10219,1.10224,1.10227,1.10214,157
2019-09-23 03:50:00,1.10224,1.10217,1.10224,1.10213,190
2019-09-23 03:55:00,1.10217,1.10219,1.10227,1.10213,204
2019-09-23 04:00:00,1.10219,1.10214,1.10228,1.10212,176
2019-09-23 04:05:00,1.10214,1.10215,1.10219,1.10213,239
2019-09-23 04:10:00,1.10215,1.10219,1.1022,1.10213,173
2019-09-23 04:15:00,1.10219,1.10203,1.10219,1.10195,266
2019-09-23 04:20:00,1.10203,1.10209,1.1021,1.10197,166
2019-09-23 04:25:00,1.10209,1.10204,1.10214,1.10202,103
2019-09-23 04:30:00,1.10204,1.102,1.10205,1.10199,131
2019-09-23 04:35:00,1.102,1.10204,1.10207,1.10201,117
2019-09-23 04:40:00,1.10204,1.10201,1.10204,1.10197,71
2019-09-23 04:45:00,1.10201,1.10203,1.10206,1.10199,97
2019-09-23 04:50:00,1.10203,1.10209,1.10211,1.10202,74
2019-09-23 04:55:00,1.10209,1.1022,1.10222,1.10207,232
2019-09-23 05:00:00,1.1022,1.10229,1.10232,1.10218,196
